seriesuid,coordX,coordY,coordZ,probability
seriesuid,coordX,coordY,coordZ,probability
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,-38.185,-23.125,-153.41,2.61031e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231,-17.24763706,-167.0105218,-244.2393479,2.5257e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,10.13,70.83,-250.85,5.71016e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,-51.11825085,13.29956844,-144.5604399,7.57021e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,93.50996587,33.42001883,-235.8714625,0.00042339
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,85.03,181.63,-606.45,3.94172e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,-124.5413638,47.80353614,-119.8109093,6.18886e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,77.76,-2.83,-122.19,7.98029e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-65.08,-17.42,-74.44,8.8612e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,57.93,158.32,-456.3,0.033976
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,-57.245,190.085,-365.615,4.4128e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,71.61,193.23,-719.76,9.94814e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,-36.67,-3.67,116.33,6.83057e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,36.99,197.17,-467.99,0.00181907
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,32.44682023,52.95051176,-297.4398306,2.96061e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,-53.71422725,90.1242535,-256.5574963,4.02899e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-65.83,155.83,-584,1.24131e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,77.774146,95.18555127,-154.1165792,8.86878e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,-105.79,97.4,-218.9,0.0232798
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,-76.1,-8.6,-80.44,7.16909e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986,33.04277992,54.33522441,-92.37297143,1.38979e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,86.1,-44.77,-176.33,6.54326e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,-32.76268489,164.1510434,-563.4078262,0.00014518
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,52.43102044,106.9931715,-122.6450407,7.73107e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,-4,120.91,-513.7,0.000343534
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,91.27,157.57,-635.24,9.05626e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,-74.13,117.33,-563.99,1.70686e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,-11.96843281,26.46472821,-2.532893458,6.99175e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,-78.98,0.74,-231.825,3.83971e-07
